ID,Name,ZoneID,AisleID,ShelfID
1,Widget Alpha,A,1,1
2,Bolt Standard,A,1,1
3,Gear Medium,A,1,2
4,Spring Coil,A,1,2
5,Washer Flat,A,1,3
6,Nut Hex,A,2,1
7,Screw Phillips,A,2,2
8,Bracket Steel,A,2,3
9,Pipe Copper,B,1,1
10,Valve Gate,B,1,1
11,Hose Rubber,B,1,2
12,Clamp Ring,B,1,3
13,Filter Mesh,B,1,3
14,Pump Mini,B,2,1
15,Motor Servo,B,2,1
16,Sensor IR,B,2,2
17,Switch Toggle,B,2,3
18,Relay Module,B,2,3
19,Cable USB,C,1,1
20,Wire Copper,C,1,2
21,Fuse Glass,C,1,2
22,Resistor 10K,C,1,3
23,Capacitor 100uF,C,2,1
24,Diode Zener,C,2,2
25,LED Red,C,2,3
